User_ids,Nov-2018,Dec-2018,Jan-2019,Feb-2019,Mar-2019,Apr-2019,May-2019,Jun-2019,Jul-2019,Aug-2019
3426.0,2,,,,,,,,,
3299.0,2,,,,,,,,,
3524.0,3,1.0,3.0,,,,,,,
3207.0,1,,,,,,,,,
3528.0,3,,,,,,,,,
3351.0,4,8.0,10.0,,,,,,,
3529.0,3,8.0,14.0,,,,,,,
3457.0,3,1.0,,,,,,,,
1967.0,5,2.0,2.0,,,,,,,
3459.0,2,6.0,5.0,,,,,,,
2671.0,1,,6.0,,,,,,,
3534.0,3,,,,,1.0,,2.0,,2.0
3533.0,3,3.0,,,,,,,,
3104.0,1,1.0,5.0,1.0,,,,,,
3535.0,1,4.0,,,,,,,,
3536.0,1,,,,,,,,,
3542.0,3,,1.0,,,,,,,
3544.0,1,,1.0,,,,,,,
3476.0,1,4.0,,,,,,,,
2510.0,6,3.0,3.0,,,,,,,
3540.0,1,,,,,,,,,
3548.0,2,1.0,,,,,,,,
3549.0,3,3.0,,1.0,3.0,,,,,
3552.0,3,3.0,3.0,,,,,,,
3553.0,3,2.0,2.0,1.0,,,,,,
3545.0,1,,,,,,,,,
3546.0,3,2.0,2.0,,,,,,,
3402.0,3,6.0,1.0,2.0,2.0,,,,,
3335.0,1,,,,,,,,,
1814.0,1,1.0,,,,,,,,
2651.0,3,7.0,17.0,3.0,,2.0,,,,
3569.0,1,,,,,,,,,
3472.0,2,8.0,6.0,1.0,,,,,,
3578.0,3,4.0,9.0,6.0,3.0,1.0,,,,
3547.0,3,,,,,,,,,
3584.0,1,,,,,,,,,
3477.0,1,4.0,7.0,,,,1.0,,,2.0
3463.0,3,3.0,,1.0,,,,,,
2786.0,2,2.0,,,,,,,,
2613.0,4,2.0,,,,,,,,
3593.0,1,4.0,3.0,,,,,,,
3590.0,3,4.0,3.0,,1.0,,,,,
3595.0,3,4.0,2.0,3.0,2.0,1.0,,,,
3596.0,2,3.0,,,,,,,,
2829.0,2,1.0,2.0,1.0,,,,1.0,,
3582.0,4,5.0,9.0,6.0,4.0,1.0,,,,
3594.0,3,4.0,3.0,2.0,3.0,1.0,,,,
3597.0,2,,,,,,,,,
3600.0,2,,,,,,,,,
3601.0,3,,,,,,,,,
3599.0,1,1.0,,,,,,,,
3603.0,2,3.0,5.0,,,,,,,
3604.0,3,4.0,,,,,,,,
3606.0,2,,,,,,,,,
1810.0,3,5.0,1.0,1.0,,,,,,
3611.0,3,,5.0,4.0,1.0,,,,,
3610.0,1,,,,,1.0,,,,
3607.0,1,,,,,,,,,
3615.0,2,2.0,3.0,2.0,1.0,,,,,
3619.0,3,2.0,4.0,,1.0,,,,,
3620.0,3,,,,,,,,,
3617.0,3,6.0,1.0,,,,,,,
3621.0,2,3.0,1.0,,,,,,,
3625.0,2,2.0,4.0,,1.0,,,,,
3623.0,1,,,,,,,,,
3291.0,5,1.0,,,,,,,,
3634.0,3,4.0,2.0,,4.0,1.0,,,,
3637.0,3,5.0,7.0,,2.0,,,,,
3628.0,2,,,,,,,,,
3543.0,3,8.0,15.0,8.0,,,,,,
3636.0,3,3.0,,,,,,,,
3641.0,3,6.0,3.0,2.0,,,,,,
3642.0,2,,,,,,,,,
3646.0,1,,,,,,,,,
3644.0,3,5.0,2.0,2.0,3.0,1.0,,,,
3648.0,1,,,,,,,,,
3589.0,3,7.0,,,,,,,,
3649.0,2,,,,,,,,,
3643.0,3,7.0,8.0,2.0,2.0,1.0,,,,
3651.0,2,1.0,,,,,,,,
3653.0,3,,,,,,,,,
3654.0,1,4.0,2.0,1.0,1.0,,,,,
3658.0,1,6.0,1.0,,3.0,,,,,
3659.0,1,,,,,,,,,
3663.0,3,5.0,10.0,2.0,3.0,1.0,,,,
3660.0,2,8.0,4.0,2.0,,,,,,
3665.0,1,,,,,,,,,
3640.0,3,3.0,,,,,,,,
3635.0,1,5.0,3.0,,,,,,,
3666.0,3,4.0,9.0,1.0,,,,,,
3668.0,1,8.0,8.0,6.0,2.0,1.0,,,,
3670.0,3,,,,,,,,,
3672.0,2,5.0,3.0,,,,,,,
3675.0,2,,,,,,,,,
3673.0,3,2.0,5.0,,,,,,,
3251.0,4,5.0,1.0,,,,,,,
3677.0,1,,,,,,,,,
3678.0,1,,,,,,,,,
3676.0,1,,,,1.0,2.0,,,,
3682.0,2,,,,,,,,,
3683.0,1,,,,,,,,,
3684.0,2,,,,,,,,,
3685.0,2,,,,,,,,,
3686.0,1,,,,,,,,,
3198.0,1,2.0,4.0,2.0,,,,,,
3687.0,1,,,,,,,,,
2963.0,4,5.0,6.0,4.0,,,,,,
3689.0,1,,,,,,,,,
3691.0,2,,,,,,,,,
3692.0,1,5.0,3.0,1.0,2.0,,,,,
3690.0,2,1.0,,,,,,,,
3695.0,1,,,,,,,,,
2775.0,4,3.0,2.0,1.0,,2.0,,,,
3697.0,1,,,,,,,,,
3700.0,1,,,,,,,,,
3696.0,3,4.0,3.0,2.0,2.0,,,,,
3698.0,3,2.0,,,,,,,,
3703.0,1,,,,,,,,,
3701.0,2,5.0,,,2.0,1.0,,,,
3708.0,1,4.0,,,,,,,,
2155.0,3,5.0,2.0,1.0,,,,,,
3655.0,3,2.0,,,1.0,,,,,
3716.0,2,6.0,2.0,3.0,,,,,,
3711.0,1,8.0,5.0,1.0,4.0,1.0,,,,
1813.0,1,8.0,5.0,,,,,,,
3719.0,1,,,,,,,,,
3712.0,3,6.0,2.0,,2.0,,,,,
3709.0,3,4.0,,,,,,,,
3722.0,1,3.0,,,,,,,,
2594.0,3,7.0,10.0,1.0,,,,,,
3724.0,1,,,,,,,,,
2773.0,4,3.0,9.0,,,,,,,
3633.0,3,,,,,,,,,
3693.0,3,4.0,2.0,1.0,,,,,,
3564.0,3,3.0,7.0,,,,,,,
3532.0,2,3.0,,,,,,,,
3219.0,2,,,,,,,,,
3728.0,3,,,,,,,,,
3730.0,2,5.0,5.0,2.0,,,,,,
3729.0,2,2.0,3.0,2.0,,,,,,
3736.0,3,4.0,3.0,2.0,3.0,1.0,,,,
3680.0,2,,,,,,,,,
3713.0,1,8.0,9.0,1.0,3.0,,,,,
3732.0,3,6.0,3.0,,1.0,,,,,
3671.0,2,4.0,2.0,,1.0,,,,,
3734.0,2,6.0,,,,,,,,
3742.0,2,2.0,1.0,,,,,,,
3744.0,3,3.0,,,,,,,,
3743.0,2,,,,,,,,,
3624.0,2,,,,,,,,,
3581.0,3,4.0,2.0,3.0,2.0,1.0,,,,
3747.0,3,6.0,2.0,,,,,,,
3749.0,2,2.0,,,,,,,,
3748.0,1,,3.0,,,,,,,
2768.0,4,7.0,2.0,2.0,3.0,1.0,,,,
3750.0,1,,,,,,,,,
3731.0,3,2.0,,,,,,,,
3751.0,2,5.0,3.0,,2.0,,,,,
3753.0,3,5.0,,,4.0,,,,,
3755.0,2,4.0,1.0,,,,,,,
3756.0,2,3.0,,,,,,,,
3758.0,2,3.0,,,,,,,,
3754.0,3,,2.0,,,,,,,
3757.0,1,,,,2.0,,,,,
3759.0,2,3.0,4.0,1.0,,,,,,
3763.0,1,,,,,,,,,
3764.0,1,,2.0,,,,,,,
2278.0,1,,1.0,,,,,,,
3771.0,3,3.0,2.0,1.0,,,,,,
3740.0,3,7.0,2.0,,2.0,,,,,
3782.0,1,,,,,,,,,
3781.0,2,2.0,1.0,,2.0,1.0,,,,
3784.0,1,,2.0,,3.0,1.0,,,,
3785.0,2,4.0,1.0,,1.0,,,,,
3786.0,3,1.0,2.0,,,,,,,
3775.0,3,3.0,1.0,,,,,,,
3789.0,2,,,,1.0,,,,,
3791.0,3,6.0,7.0,2.0,3.0,1.0,,,,
3760.0,3,5.0,,1.0,5.0,,1.0,1.0,5.0,2.0
3792.0,3,,,6.0,3.0,1.0,,,,
3560.0,2,,3.0,,,,,,,
3718.0,1,1.0,4.0,2.0,,2.0,,,,
3720.0,1,,,,,,,,,
3796.0,1,,,,,,,,,
3799.0,1,1.0,,,,,,,,
3801.0,3,1.0,,,,,,,,
3800.0,1,1.0,3.0,,1.0,,,,,
3808.0,1,1.0,5.0,,,,,,,
2936.0,1,,,,,,,,,
3810.0,1,,1.0,,,,,,,
3806.0,3,2.0,3.0,,,,,,,
3737.0,3,1.0,1.0,,2.0,3.0,,,,
3812.0,1,2.0,,,,,,,,
3809.0,1,,,,1.0,,,,,
3783.0,2,,,,,,,,,
3814.0,1,,,,,,,,,
3815.0,1,,,,,,,,,
3819.0,2,1.0,,,,,,,,
3823.0,1,2.0,,,,,,,,
3804.0,1,,,,,,,,,
3824.0,1,,,,,,,,,
3826.0,3,,,,,,,,,
3825.0,3,3.0,,,,,,,,
3820.0,1,1.0,,,,,,,,
3233.0,1,4.0,1.0,,,,,,,
3319.0,2,6.0,,1.0,,,,,,
3818.0,3,,,,,,,,,
3822.0,1,,,,,,,,,
3827.0,1,1.0,,,,,,,,
2125.0,4,4.0,3.0,,,,,,,
3828.0,1,,,,,,,,,
3829.0,1,1.0,,,,,,,,
3830.0,3,3.0,1.0,1.0,,,,,,
2969.0,2,,,,,,,,,
3832.0,3,6.0,2.0,2.0,4.0,,,,,
3834.0,2,,3.0,,,,,,,
3835.0,3,,2.0,1.0,1.0,1.0,,,,
3837.0,3,5.0,1.0,2.0,4.0,,,,,
3831.0,1,6.0,,,,,,,,
3841.0,1,,3.0,,,,,,,
3842.0,2,,,,,,,,,
3843.0,2,,,,,,,,,
3844.0,3,6.0,1.0,,2.0,1.0,,,,
3064.0,2,9.0,9.0,1.0,,,,,,
3845.0,2,3.0,1.0,1.0,2.0,,,,,
3779.0,3,2.0,3.0,,,,,,,
3846.0,1,,,,,,,,,
3847.0,1,,1.0,,,4.0,,,,
3850.0,2,,,1.0,,,,,,
3851.0,1,2.0,1.0,,,,,,,
3855.0,2,1.0,2.0,1.0,,,,,,
3857.0,1,,,,,1.0,,,,
3859.0,1,1.0,2.0,1.0,,,,,,
3852.0,1,,,,,,,,,
2096.0,1,4.0,4.0,1.0,,,,,,
3766.0,3,,,,1.0,3.0,,,1.0,2.0
3861.0,2,1.0,1.0,1.0,2.0,,,,,
3864.0,2,6.0,9.0,1.0,,,,,,
3866.0,1,,,,,,,,,
3821.0,2,7.0,2.0,1.0,,,,,,
3877.0,1,7.0,2.0,1.0,,,,,,
3879.0,2,8.0,3.0,,,,,,,
3880.0,1,,3.0,1.0,,,,,,
3881.0,1,,3.0,1.0,,,,,,
3309.0,2,,1.0,,,,,,,
